anio;pais;pais_iso2;pais_normalizado;pais_dash;pais_es;lat;long;ciudad;Organización;convocatoria;imagen_url;temas_ocr/themes;posible_duplicado_2425
2019;Uruguay;UY;Uruguay;uruguay;Uruguay;-30.8966779;-55.535028;Rivera/Libramento;Colectivo Feminista de la Frontera;https://www.facebook.com/events/2139662319402888/?ti=as;;;FALSE
2019;Uruguay;UY;Uruguay;uruguay;Uruguay;-34.480709;-54.336376;Rocha (Ciudad);;https://www.instagram.com/antipatriarcasrocha/?hl=es-la;;;FALSE
2019;Uruguay;UY;Uruguay;uruguay;Uruguay;-31.3889587;-57.9614088;Salto (Ciudad);Waslala Colectivo Feminista Feminista Organizadas de Salto;https://www.instagram.com/waslalafeminista/?hl=es-la;;;FALSE
2019;Uruguay;UY;Uruguay;uruguay;Uruguay;-34.450976;-56.080909;San Antonio;;https://www.facebook.com/events/2541589285883421/;;;FALSE
2019;Uruguay;UY;Uruguay;uruguay;Uruguay;-34.33992;-56.713706;San José;;;;;FALSE
2019;Uruguay;UY;Uruguay;uruguay;Uruguay;-34.904913;-56.193641;SUINAU (Montevideo);;https://www.facebook.com/rosaluxemburgosuinau/photos/a.1992120707687063/2352368561662274/?type=3&eid=ARBHMKKc4dTkqFaSIXN6G9JeOMn1G5zsUhvyRy_2liaiKq_K1g-HOjTO_GNJ484vI87LOn2v4eg3LAjD&__xts__%5B0%5D=68.ARCPVAn9wiZ_GwVZb1843fWrRu_IMMknnLHQiEQep2BzFc3oYYESNUZsT4OqLP8SOPPNjWX_cig5n2T1X8Gh6LFSy_dy3LJL0f9F9vWrutLC1doN1wz0wsuslTyA_Z2UcO2eCe20KC4XSneqZ2jdOOwlj_wxdbFRYlJ3K0dzaP__A7CXOXuqbr4tTbmlr1AAy3r3QrgRVbX-FDlcL7eFKrYBzIJh-LHnUkXNe9bp5sk70_SpWFT9DPwjiST7NfZFspBjUC74nsf6kKytmJW9P9YWKDi7TQFWpNRVFkjcn3Qu7qffzc4KM5G2I3BOyF-pSxuZKwY-RKU-crz30ECswQp7Tl06&__tn__=EEHH-R;;;FALSE
2019;Uruguay;UY;Uruguay;uruguay;Uruguay;-31.714616;-55.98278;Tacuarembó;Colectiva Feminista Sororité;https://www.facebook.com/colectivafeminista.sororite.9;;;FALSE
2019;Uruguay;UY;Uruguay;uruguay;Uruguay;-33.227783;-54.3751642;Treinta Y Tres;Colectivo Feminista 33;;;;FALSE
2019;Uruguay;UY;Uruguay;uruguay;Uruguay;-33.521309;-56.897576;Trinidad;;;;;FALSE
2019;Uruguay;UY;Uruguay;uruguay;Uruguay;-32.703388;-57.633083;Young;Guidaí Colectiva Feminista;https://www.instagram.com/guidaifeminista/?hl=es-la;;;FALSE
